order_id,customer_id,store_id,order_date,payment_method,status
ORD000040,C00026,ST004,2026-07-08 06:56:55,e-wallet,cancelled
ORD000041,C00005,ST001,2026-07-08 07:14:23,cod,pending
ORD000042,C00028,ST002,2026-07-08 07:20:29,qris,cancelled
ORD000043,C00007,ST003,2026-07-08 06:59:35,credit_card,completed
ORD000044,C00007,ST001,08/07/2026 07:00:15,cod,pending
ORD000045,C00005,ST002,2026-07-08 07:12:53,bank_transfer,cancelled
ORD000046,C00027,ST004,2026-07-08 07:14:23,qris,pending
ORD000047,C00018,ST003,2026-07-08 07:04:29,qris,pending
ORD000048,C00009,ST001,08/07/2026 06:33:46,,pending
ORD000049,C00027,ST004,2026-07-08 06:58:34,bank_transfer,completed
ORD000007,C00014,ST004,2026-07-08 06:37:23,e-wallet,completed
ORD000015,C00023,ST004,08/07/2026 06:38:43,credit_card,cancelled
ORD000018,C00027,ST004,08/07/2026 06:33:12,cod,completed
ORD000019,C00023,ST003,2026-07-08 06:24:22,bank_transfer,completed
ORD000022,C00022,ST002,2026-07-08 07:01:06,qris,completed
ORD000028,C00033,ST002,08/07/2026 06:59:25,qris,cancelled
ORD000029,C00031,ST002,2026-07-08 06:45:24,bank_transfer,completed
ORD000031,C00002,ST002,2026-07-08 06:44:06,qris,completed
ORD000034,C00016,ST001,2026-07-08 07:05:24,e-wallet,completed
ORD000035,C00035,ST002,2026-07-08 07:07:01,e-wallet,completed
ORD000038,C00027,ST002,08/07/2026 06:37:54,credit_card,completed
ORD000042,C00028,ST002,2026-07-08 07:20:29,qris,cancelled
ORD000043,C00007,ST003,2026-07-08 06:59:35,credit_card,completed
ORD000049,C00027,ST004,2026-07-08 06:58:34,bank_transfer,completed
