order_id,customer_id,store_id,order_date,payment_method,status
ORD000050,C00019,ST003,08/07/2026 07:00:01,e-wallet,pending
ORD000051,C00011,ST001,2026-07-08 06:47:56,e-wallet,pending
ORD000052,C00008,ST001,2026-07-08 07:21:24,cod,completed
ORD000053,C00018,ST004,08/07/2026 06:58:11,qris,pending
ORD000054,C00019,ST001,2026-07-08 06:41:54,e-wallet,completed
ORD000055,C00022,ST001,2026-07-08 07:06:56,qris,pending
ORD000056,C00016,ST002,2026-07-08 07:15:29,,pending
ORD000057,C00025,ST001,2026-07-08 06:42:37,qris,completed
ORD000036,C00034,ST003,08/07/2026 07:01:35,e-wallet,cancelled
ORD000044,C00007,ST001,08/07/2026 07:00:15,cod,completed
ORD000046,C00027,ST004,2026-07-08 07:14:23,qris,completed
ORD000052,C00008,ST001,2026-07-08 07:21:24,cod,completed
ORD000054,C00019,ST001,2026-07-08 06:41:54,e-wallet,completed
ORD000057,C00025,ST001,2026-07-08 06:42:37,qris,completed
