order_id,customer_id,store_id,order_date,payment_method,status
ORD000011,C00012,ST003,08/07/2026 07:08:56,e-wallet,completed
ORD000012,C00016,ST001,08/07/2026 06:48:51,qris,completed
ORD000013,C00010,ST003,2026-07-08 06:55:12,qris,completed
ORD000014,C00002,ST002,2026-07-08 06:49:24,cod,pending
ORD000015,C00023,ST004,08/07/2026 06:38:43,credit_card,pending
ORD000016,C00031,ST004,08/07/2026 06:45:37,bank_transfer,completed
ORD000017,C00014,ST003,2026-07-08 06:57:41,qris,pending
ORD000018,C00027,ST004,08/07/2026 06:33:12,cod,pending
ORD000019,C00023,ST003,2026-07-08 06:24:22,bank_transfer,pending
ORD000002,C00031,ST001,2026-07-08 06:19:53,e-wallet,completed
ORD000004,C00009,ST003,08/07/2026 07:03:33,credit_card,completed
ORD000005,C00026,ST001,2026-07-08 06:23:00,bank_transfer,completed
ORD000008,C00017,ST002,08/07/2026 06:36:38,qris,completed
ORD000011,C00012,ST003,08/07/2026 07:08:56,e-wallet,completed
ORD000012,C00016,ST001,08/07/2026 06:48:51,qris,completed
ORD000013,C00010,ST003,2026-07-08 06:55:12,qris,completed
ORD000016,C00031,ST004,08/07/2026 06:45:37,bank_transfer,completed
