order_id,customer_id,store_id,order_date,payment_method,status
ORD000001,C00026,ST004,2026-07-08 07:00:58,cod,cancelled
ORD000002,C00031,ST001,2026-07-08 06:19:53,e-wallet,pending
ORD000003,C00008,ST003,2026-07-08 06:22:22,qris,pending
ORD000004,C00009,ST003,08/07/2026 07:03:33,credit_card,pending
ORD000005,C00026,ST001,2026-07-08 06:23:00,bank_transfer,pending
ORD000006,C00028,ST002,2026-07-08 06:38:16,,completed
ORD000007,C00014,ST004,2026-07-08 06:37:23,e-wallet,pending
ORD000008,C00017,ST002,08/07/2026 06:36:38,qris,pending
ORD000009,C00006,ST001,08/07/2026 06:57:07,credit_card,pending
ORD000010,C00019,ST002,08/07/2026 06:27:26,cod,pending
ORD000006,C00028,ST002,2026-07-08 06:38:16,,completed
