order_id,customer_id,store_id,order_date,payment_method,status
ORD000030,C00034,ST004,2026-07-08 06:33:52,credit_card,completed
ORD000031,C00002,ST002,2026-07-08 06:44:06,qris,pending
ORD000032,C00028,ST002,08/07/2026 07:05:31,bank_transfer,pending
ORD000033,C00011,ST001,08/07/2026 07:01:42,qris,completed
ORD000034,C00016,ST001,2026-07-08 07:05:24,e-wallet,pending
ORD000035,C00035,ST002,2026-07-08 07:07:01,e-wallet,pending
ORD000036,C00034,ST003,08/07/2026 07:01:35,e-wallet,pending
ORD000037,C00006,ST004,2026-07-08 07:04:47,e-wallet,pending
ORD000038,C00027,ST002,08/07/2026 06:37:54,credit_card,pending
ORD000039,C00013,ST002,2026-07-08 06:43:26,qris,pending
ORD000003,C00008,ST003,2026-07-08 06:22:22,qris,completed
ORD000020,C00006,ST001,2026-07-08 06:57:05,qris,completed
ORD000023,C00032,ST002,2026-07-08 07:10:06,bank_transfer,completed
ORD000027,C00019,ST001,08/07/2026 06:30:36,credit_card,cancelled
ORD000030,C00034,ST004,2026-07-08 06:33:52,credit_card,completed
ORD000033,C00011,ST001,08/07/2026 07:01:42,qris,completed
