order_item_id,order_id,product_id,quantity,unit_price
OI0000001,ORD000001,P0019,1,1418045.0
OI0000002,ORD000001,P0015,1,996992.0
OI0000003,ORD000001,P0009,1,1198949.0
OI0000004,ORD000002,P0027,2,331806.0
OI0000005,ORD000003,P0013,5,1754788.0
OI0000006,ORD000003,P0017,5,1504299.0
OI0000007,ORD000004,P0004,3,1922247.0
OI0000008,ORD000004,P0013,3,1754788.0
OI0000009,ORD000005,P0010,5,711595.0
OI0000010,ORD000005,P0022,4,"1382896,0"
OI0000011,ORD000005,P0025,1,892682.0
OI0000012,ORD000006,P0024,5,335576.0
OI0000013,ORD000006,P0008,1,1334909.0
OI0000014,ORD000007,P0004,3,1922247.0
OI0000015,ORD000007,P0004,3,1922247.0
OI0000016,ORD000008,P0015,1,996992.0
OI0000017,ORD000009,P0010,4,711595.0
OI0000018,ORD000010,P0022,1,1382896.0
OI0000019,ORD000010,P0017,4,1504299.0
