order_item_id,order_id,product_id,quantity,unit_price
OI0000069,ORD000030,P0025,3,892682.0
OI0000070,ORD000030,P0021,1,1705357.0
OI0000071,ORD000030,P0004,5,1922247.0
OI0000072,ORD000031,P0017,2,1504299.0
OI0000073,ORD000031,P0025,1,"892682,0"
OI0000074,ORD000032,P0028,3,1710449.0
OI0000075,ORD000032,P0001,2,290044.0
OI0000076,ORD000032,P0016,5,1966957.0
OI0000077,ORD000032,P0010,1,711595.0
OI0000078,ORD000033,P0016,4,1966957.0
OI0000079,ORD000033,P0017,2,1504299.0
OI0000080,ORD000033,P0002,2,-1754399.0
OI0000081,ORD000034,P0010,2,711595.0
OI0000082,ORD000035,P0004,5,1922247.0
OI0000083,ORD000035,P0027,2,331806.0
OI0000084,ORD000036,P0012,2,1172847.0
OI0000085,ORD000037,P0004,4,1922247.0
OI0000086,ORD000037,P0026,2,1730407.0
OI0000087,ORD000037,P0017,3,1504299.0
OI0000088,ORD000038,P0015,1,996992.0
OI0000089,ORD000039,P0016,3,"1966957,0"
OI0000090,ORD000039,P0023,1,742904.0
