order_item_id,order_id,product_id,quantity,unit_price
OI0000091,ORD000040,P0011,2,1442373.0
OI0000092,ORD000040,P0001,5,290044.0
OI0000093,ORD000041,P0020,5,1246800.0
OI0000094,ORD000041,P0011,1,1442373.0
OI0000095,ORD000041,P0020,4,1246800.0
OI0000096,ORD000041,P0014,5,1775141.0
OI0000097,ORD000042,P0027,5,331806.0
OI0000098,ORD000042,P0006,1,1298145.0
OI0000099,ORD000043,P0014,2,1775141.0
OI0000100,ORD000044,P0026,1,1730407.0
OI0000101,ORD000044,P0024,2,335576.0
OI0000102,ORD000044,P0018,1,753310.0
OI0000103,ORD000045,P0026,2,1730407.0
OI0000104,ORD000045,P0011,2,1442373.0
OI0000105,ORD000045,P0027,2,331806.0
OI0000106,ORD000046,P0016,1,"1966957,0"
OI0000107,ORD000046,P0017,4,1504299.0
OI0000108,ORD000047,P0006,4,1298145.0
OI0000109,ORD000048,P0013,1,1754788.0
OI0000110,ORD000048,P0016,3,1966957.0
OI0000111,ORD000048,P0008,4,1334909.0
OI0000112,ORD000048,P0005,1,"745157,0"
OI0000113,ORD000049,P0011,5,1442373.0
