order_item_id,order_id,product_id,quantity,unit_price
OI0000114,ORD000050,P0015,2,996992.0
OI0000115,ORD000050,P0021,4,1705357.0
OI0000116,ORD000050,P0012,3,1172847.0
OI0000117,ORD000050,P0007,4,665148.0
OI0000118,ORD000051,P0006,5,1298145.0
OI0000119,ORD000052,P0011,5,1442373.0
OI0000120,ORD000052,P0016,1,1966957.0
OI0000121,ORD000052,P0017,5,1504299.0
OI0000122,ORD000052,P0024,5,335576.0
OI0000123,ORD000053,P0012,4,1172847.0
OI0000124,ORD000053,P0008,3,1334909.0
OI0000125,ORD000053,P0019,1,1418045.0
OI0000126,ORD000053,P0027,5,331806.0
OI0000127,ORD000054,P0012,5,1172847.0
OI0000128,ORD000055,P0006,2,1298145.0
OI0000129,ORD000055,P0023,5,"742904,0"
OI0000130,ORD000056,P0018,5,753310.0
OI0000131,ORD000056,P0012,1,1172847.0
OI0000132,ORD000056,P0017,4,1504299.0
OI0000133,ORD000056,P0021,5,1705357.0
OI0000134,ORD000057,P0021,5,"1705357,0"
