order_item_id,order_id,product_id,quantity,unit_price
OI0000020,ORD000011,P0013,4,1754788.0
OI0000021,ORD000012,P0026,3,1730407.0
OI0000022,ORD000012,P0004,2,1922247.0
OI0000023,ORD000012,P0022,4,1382896.0
OI0000024,ORD000012,P0009,2,1198949.0
OI0000025,ORD000013,P0020,5,1246800.0
OI0000026,ORD000013,P0026,3,1730407.0
OI0000027,ORD000013,P0025,4,892682.0
OI0000028,ORD000014,P0005,4,745157.0
OI0000029,ORD000014,P0009,1,1198949.0
OI0000030,ORD000015,P0026,1,1730407.0
OI0000031,ORD000016,P0008,5,1334909.0
OI0000032,ORD000017,P0003,4,1524467.0
OI0000033,ORD000017,P0015,4,996992.0
OI0000034,ORD000018,P0003,1,1524467.0
OI0000035,ORD000018,P0012,1,1172847.0
OI0000036,ORD000018,P0013,2,1754788.0
OI0000037,ORD000019,P0025,2,"892682,0"
OI0000038,ORD000019,P0017,4,1504299.0
OI0000039,ORD000019,P0026,4,1730407.0
OI0000040,ORD000019,P0019,2,1418045.0
